Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","108.568893","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","109.038931","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","109.278951","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2019","2019","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","109.738989","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","110.189026","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","110.469049","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","111.019094","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","111.299117","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","111.349121","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","111.439128","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","111.449129","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","111.389124","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","111.229111","X","Figure from international organizations","base year is 2015"
