Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","115.029509","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","114.511557","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","114.037685","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","113.40953","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","113.530753","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","113.442591","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.773199","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","85.276985","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","85.436998","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","85.627014","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","85.927038","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","86.057049","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","86.18706","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","88.407242","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","88.607258","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","89.107299","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","89.597339","X","Figure from international organizations","base year is 2015"
